User_id,Session_id,Event,Timestamp,Device,Region,Channel,Category,Revenue,Bounce_flag
USR00001,SES00001,Browse,31-01-2026 05:27,Tablet,North,Google Ads,Fashion,0,Yes
USR00001,SES00001,Add to Cart,31-01-2026 05:32,Desktop,South,Email,Fashion,0,Yes
USR00002,SES00002,Browse,30-01-2026 04:36,Mobile,West,Social Media,Sports,0,Yes
USR00003,SES00003,Browse,20-01-2026 06:20,Mobile,West,Organic,Electronics,0,No
USR00003,SES00003,Add to Cart,20-01-2026 06:22,Desktop,East,Social Media,Electronics,0,No
USR00003,SES00003,Checkout,20-01-2026 06:25,Tablet,West,Organic,Home,0,No
USR00003,SES00003,Purchase,20-01-2026 06:28,Desktop,North,Google Ads,Beauty,594.8,No
USR00004,SES00004,Browse,12-01-2026 17:29,Tablet,East,Google Ads,Electronics,0,Yes
USR00004,SES00004,Add to Cart,12-01-2026 17:31,Mobile,South,Google Ads,Sports,0,Yes
USR00004,SES00004,Checkout,12-01-2026 17:33,Desktop,East,Organic,Beauty,0,Yes
USR00005,SES00005,Browse,23-01-2026 04:07,Tablet,North,Social Media,Sports,0,Yes
USR00005,SES00005,Add to Cart,23-01-2026 04:10,Tablet,West,Email,Beauty,0,Yes
USR00006,SES00006,Browse,28-01-2026 12:22,Tablet,North,Social Media,Electronics,0,Yes
USR00006,SES00006,Add to Cart,28-01-2026 12:27,Tablet,North,Social Media,Home,0,Yes
USR00007,SES00007,Browse,30-01-2026 09:33,Tablet,East,Email,Beauty,0,Yes
USR00008,SES00008,Browse,27-01-2026 15:07,Desktop,West,Social Media,Beauty,0,Yes
USR00008,SES00008,Add to Cart,27-01-2026 15:10,Desktop,West,Email,Home,0,Yes
USR00009,SES00009,Browse,30-01-2026 01:47,Tablet,South,Social Media,Electronics,0,Yes
USR00009,SES00009,Add to Cart,30-01-2026 01:49,Tablet,West,Email,Fashion,0,Yes
USR00009,SES00009,Checkout,30-01-2026 01:52,Mobile,South,Organic,Beauty,0,Yes
USR00010,SES00010,Browse,13-01-2026 22:32,Desktop,East,Organic,Electronics,0,Yes
USR00010,SES00010,Add to Cart,13-01-2026 22:35,Desktop,East,Social Media,Electronics,0,Yes
USR00010,SES00010,Checkout,13-01-2026 22:39,Mobile,West,Social Media,Fashion,0,Yes
USR00011,SES00011,Browse,26-01-2026 17:49,Desktop,East,Email,Home,0,Yes
USR00012,SES00012,Browse,14-01-2026 03:48,Tablet,East,Google Ads,Sports,0,Yes
USR00012,SES00012,Add to Cart,14-01-2026 03:52,Tablet,North,Social Media,Electronics,0,Yes
USR00013,SES00013,Browse,12-01-2026 15:49,Tablet,North,Organic,Fashion,0,No
USR00013,SES00013,Add to Cart,12-01-2026 15:52,Tablet,East,Organic,Beauty,0,No
USR00013,SES00013,Checkout,12-01-2026 15:56,Desktop,West,Email,Sports,0,No
USR00013,SES00013,Purchase,12-01-2026 16:00,Tablet,North,Google Ads,Home,1295.24,No
USR00014,SES00014,Browse,15-01-2026 20:52,Tablet,North,Organic,Electronics,0,Yes
USR00014,SES00014,Add to Cart,15-01-2026 20:54,Desktop,East,Google Ads,Electronics,0,Yes
USR00014,SES00014,Checkout,15-01-2026 20:57,Tablet,North,Google Ads,Electronics,0,Yes
USR00015,SES00015,Browse,31-01-2026 18:22,Desktop,East,Google Ads,Sports,0,Yes
USR00015,SES00015,Add to Cart,31-01-2026 18:24,Desktop,East,Organic,Fashion,0,Yes
USR00016,SES00016,Browse,08-01-2026 13:10,Desktop,East,Social Media,Home,0,Yes
USR00017,SES00017,Browse,26-01-2026 19:38,Tablet,North,Google Ads,Beauty,0,Yes
USR00018,SES00018,Browse,16-01-2026 11:02,Mobile,North,Organic,Fashion,0,Yes
USR00018,SES00018,Add to Cart,16-01-2026 11:06,Mobile,West,Social Media,Fashion,0,Yes
USR00019,SES00019,Browse,11-01-2026 06:26,Desktop,South,Google Ads,Home,0,Yes
USR00019,SES00019,Add to Cart,11-01-2026 06:31,Desktop,East,Google Ads,Home,0,Yes
USR00020,SES00020,Browse,31-01-2026 09:04,Tablet,East,Email,Fashion,0,Yes
